Distincts,user_of_ibbwifi,ibbwifiuser_divpopulation,Ilce_Nufus2023,Haftalik_Spor_Yapmayanlar,Haftalik_Spor_Yapanlar,Haftalik_Spor_Yapmayanlar_Yuzdelik,Haftalik_Spor_Yapanlar_Yuzdelik,Üye,ÜyeDegil,STK_Üye_Yuzdelik,STK_UyeDegil_Yuzdelik,Ilçe_Ait hissetmiyorum,Ilçe_Ne ait hissediyorum ne hissetmiyorum,Ilçe_Ait hissediyorum,Yuzdelik_Ilçe_Ait hissetmiyorum,Yuzdelik_Ilçe_Ne ait hissediyorum ne hissetmiyorum,Yuzdelik_Ilçe_Ait hissediyorum,Tatil_Yapmayanlar,Tatil_Yapanlar,Tatil_Yapmayanlar_Yuzdelik,Tatil_Yapanlar_Yuzdelik, Ev_Sahibi, Ev_Sahibi_Degil, Ev_Sahibi_Yuzdelik, Ev_Sahibi_Degil_Yuzdelik,Ortalama Brüt (m2),Ortalama Net (m2), Hiz_Memnunum, Hiz_Ne Memnunum Ne Memnun Degilim, Hiz_Memnun Degilim, Hiz_Emin Degilim / Fikrim Yok, Fiyat_Memnunum, Fiyat_Ne Memnunum Ne Memnun Degilim, Fiyat_Memnun Degilim, Fiyat_Emin Degilim / Fikrim Yok,Baglanti kopma sorunu_Memnunum,Baglanti kopma sorunu_Ne Memnunum Ne Memnun Degilim,Baglanti kopma sorunu_Memnun Degilim,Baglanti kopma sorunu_Emin Degilim / Fikrim Yok,Müsteri Hizmetleri_Memnunum,Müsteri Hizmetleri_Ne Memnunum Ne Memnun Degilim,Müsteri Hizmetleri_Memnun Degilim,Müsteri Hizmetleri_Emin Degilim / Fikrim Yok,Evcil Hayvan_Var,Evcil Hayvan_Yok,Sosyal Yardim Alma_Evet,Sosyal Yardim Alma_Hayir,Ortalama Hanehalki Büyüklügü 2023,EvselAtik,EvselAtik_kisibasi,Egitim_Önemli Degil,Egitim_Ne Önemli Ne Önemli Degil,Egitim_Önemli,Average of SES
BEYKOZ,158424,0.644925442,245647,174,17,91%,9%,2,198,1%,99%,8,2,183,4%,1%,95%,146,45,76%,24%,401,388,51%,49%,105,94,37,3,33,9,22,6,45,9,30,9,34,9,35,11,25,11,116,673,83,706,3.07,119293,0.485626977,1%,13%,86%,36.94444444
BEYLIKDÜZÜ,384202,0.938572898,409347,205,55,79%,21%,5,297,2%,98%,12,71,201,4%,25%,71%,214,46,82%,18%,552,625,47%,53%,115,106,61,38,28,13,41,43,42,13,39,54,32,14,48,46,32,13,100,1077,163,1014,3.19,137838,0.336727104,7%,23%,70%,47.5
BEYOGLU,1387926,6.349477787,218589,177,22,89%,11%,8,192,4%,96%,14,77,97,7%,41%,52%,99,702,12%,88%,317,484,40%,60%,87,77,45,68,49,27,34,77,48,30,42,75,44,26,42,87,31,28,112,689,51,750,2.85,131161,0.600035363,3%,15%,82%,40.83333333
BÜYÜKÇEKMECE,111827,0.404332326,276572,146,72,67%,33%,2,201,1%,99%,15,22,167,7%,11%,82%,173,45,79%,21%,561,267,68%,32%,113,105,49,31,27,13,25,37,44,15,39,31,32,19,37,29,25,19,78,750,149,679,3.08,110334,0.398933298,7%,12%,81%,53.64583333
ÇATALCA,85691,1.071043784,80007,81,7,92%,8%,0,91,0%,100%,6,9,85,6%,9%,85%,76,12,86%,14%,291,81,78%,22%,112,103,12,11,11,0,7,14,11,3,9,13,12,0,12,5,11,6,46,326,19,353,2.65,36154,0.45188496,0%,1%,99%,34.29487179
ÇEKMEKÖY,242402,0.808529516,299806,191,13,94%,6%,2,216,1%,99%,7,24,175,3%,12%,85%,115,89,56%,44%,505,342,60%,40%,103,96,75,42,73,2,59,58,66,9,73,45,66,8,75,43,63,11,145,702,19,828,3.17,109574,0.365484046,0%,8%,92%,60.71428571
ESENLER,753182,1.760178172,427901,295,26,92%,8%,3,309,1%,99%,57,53,202,18%,17%,65%,206,1084,16%,84%,677,613,52%,48%,98,88,93,53,96,43,69,56,115,45,72,68,97,49,95,63,80,47,185,1105,119,1171,3.53,127598,0.298196008,0%,4%,96%,13.28125
ESENYURT,142625,0.14583229,978007,620,79,89%,11%,6,754,1%,99%,85,128,448,13%,19%,68%,614,85,88%,12%,1190,1753,40%,60%,101,91,109,130,86,27,81,110,127,32,95,111,113,31,96,121,100,27,167,2776,776,2167,3.38,395756,0.404656081,7%,17%,76%,31.39534884
EYÜPSULTAN,789060,1.877846899,420194,295,34,90%,10%,7,332,2%,98%,26,67,243,8%,20%,72%,184,1160,14%,86%,808,536,60%,40%,93,84,109,55,98,41,69,73,117,44,95,65,98,45,96,76,72,56,191,1153,62,1282,3.05,151078,0.359543259,0%,13%,87%,35.26785714
FATIH,3414453,9.590486623,356025,351,6,98%,2%,2,346,1%,99%,16,101,227,5%,29%,66%,195,1228,14%,86%,592,831,42%,58%,85,76,107,87,77,51,79,107,86,50,89,117,65,51,113,105,50,52,145,1278,142,1281,2.8,211391,0.593754343,1%,11%,88%,28.28947368
GAZIOSMANPASA,725571,1.49964037,483830,348,37,90%,10%,3,365,1%,99%,50,50,268,14%,14%,73%,228,1289,15%,85%,942,575,62%,38%,95,85,108,53,116,62,90,59,123,66,96,68,113,61,127,63,83,65,241,1276,79,1438,3.31,150488,0.311034723,2%,10%,88%,31.25
GÜNGÖREN,956409,3.542990398,269944,201,17,92%,8%,6,214,3%,97%,34,50,137,15%,23%,62%,136,756,15%,85%,482,410,54%,46%,94,84,73,42,54,41,41,42,86,40,60,54,54,41,80,50,38,40,133,759,50,842,3.2,96682,0.358154025,1%,4%,95%,32.95454545
KADIKÖY,980536,2.09552508,467919,447,62,88%,12%,6,508,1%,99%,23,48,447,4%,9%,86%,288,221,57%,43%,1212,849,59%,41%,104,95,192,64,142,12,163,90,124,33,175,80,130,25,177,76,128,29,321,1740,34,2027,2.28,205874,0.439976834,5%,18%,78%,89.28571429
KAGITHANE,380780,0.854395161,445672,321,44,88%,12%,13,354,4%,96%,38,69,256,10%,19%,71%,202,1273,14%,86%,730,745,49%,51%,93,83,132,56,109,50,94,79,117,56,104,70,118,53,137,69,81,57,278,1197,66,1409,2.98,155081,0.347970503,2%,7%,91%,40.78947368
KARTAL,390863,0.822796721,475042,320,65,83%,17%,9,392,2%,98%,32,69,293,8%,18%,74%,244,141,63%,37%,815,771,51%,49%,104,93,125,77,87,5,103,87,95,9,122,83,84,5,114,87,88,5,330,1256,47,1539,2.93,174568,0.367479254,3%,9%,89%,60
KÜÇÜKÇEKMECE,1072615,1.354260571,792030,560,128,81%,19%,0,648,0%,100%,133,196,280,22%,32%,46%,612,76,89%,11%,1347,1238,52%,48%,101,92,20,33,33,11,7,33,46,9,13,32,35,12,8,29,43,11,117,2468,301,2284,3.22,285493,0.360457609,14%,32%,54%,41.07142857
MALTEPE,316156,0.604346471,523137,373,63,86%,14%,6,439,1%,99%,25,90,327,6%,20%,74%,258,178,59%,41%,1011,768,57%,43%,111,99,190,55,78,9,120,96,108,8,141,82,102,7,186,74,59,13,424,1355,70,1709,2.78,174503,0.333570785,1%,7%,93%,68.05555556
PENDIK,339357,0.456263596,743774,453,90,83%,17%,23,540,4%,96%,59,75,430,10%,13%,76%,391,152,72%,28%,1127,1116,50%,50%,101,89,199,67,104,42,167,81,122,42,183,79,108,42,187,90,93,42,352,1891,73,2170,3.18,245522,0.330102692,1%,8%,91%,43.75
SANCAKTEPE,151775,0.307982484,492804,274,34,89%,11%,7,309,2%,98%,42,42,219,14%,14%,72%,248,61,80%,20%,542,766,41%,59%,102,88,101,21,101,23,75,23,118,30,80,22,121,23,99,29,91,27,118,1190,108,1200,3.47,171830,0.348677669,2%,3%,96%,17.76315789
SARIYER,215581,0.626233842,344250,277,32,90%,10%,4,281,1%,99%,7,47,233,2%,16%,81%,194,988,16%,84%,677,505,57%,43%,98,89,105,49,72,46,86,59,82,44,95,58,72,46,97,51,70,52,183,999,53,1129,2.85,164898,0.479005226,1%,16%,83%,55.59210526
SILE,39955,0.823186435,48537,140,23,86%,14%,1,96,1%,99%,1,7,84,1%,8%,91%,79,12,87%,13%,211,163,56%,44%,94,81,17,23,29,2,7,30,31,3,10,36,22,3,11,35,22,3,141,233,5,369,2.46,36985,0.761986938,0%,1%,98%,41.12903226
SILIVRI,16207,0.07309571,221723,184,9,95%,5%,2,136,1%,99%,15,22,117,10%,14%,76%,123,40,75%,25%,431,187,70%,30%,120,111,36,20,20,14,28,21,28,14,38,24,18,12,37,15,18,12,75,543,95,523,2.89,94354,0.4255485,4%,13%,83%,37.14285714
SISLI,781664,2.952616947,264736,341,26,93%,7%,14,260,5%,95%,30,94,153,11%,34%,55%,132,989,12%,88%,460,661,41%,59%,100,90,104,76,64,23,81,88,72,25,83,97,62,24,90,106,44,24,200,921,38,1082,2.43,146241,0.552403897,3%,15%,83%,66.5
SULTANBEYLI,462028,1.28091333,360702,79,12,87%,13%,11,174,6%,94%,27,14,159,14%,7%,80%,139,54,72%,28%,363,507,42%,58%,111,95,41,18,53,6,35,18,50,15,36,21,53,8,53,17,39,9,85,785,144,726,3.87,127679,0.353974694,1%,2%,97%,13.33333333
SULTANGAZI,557447,1.046255457,532802,220,56,80%,20%,4,358,1%,99%,49,45,240,15%,13%,72%,234,1200,16%,84%,800,634,56%,44%,96,87,102,67,107,41,71,69,131,43,86,84,103,42,104,81,84,45,165,1268,100,1333,3.8,172073,0.32295774,3%,21%,77%,19.16666667
TUZLA,102968,0.350703669,293604,194,18,92%,8%,6,216,3%,97%,25,52,134,12%,25%,64%,163,49,77%,23%,379,490,44%,56%,99,87,75,38,39,7,62,39,51,7,60,48,43,8,55,50,47,7,152,717,23,846,3.1,127095,0.432880172,0%,2%,97%,51.47058824
ÜMRANIYE,759744,1.049718139,723760,440,55,89%,11%,4,503,1%,99%,30,82,388,6%,16%,78%,385,110,78%,22%,1076,1136,49%,51%,99,88,115,91,95,8,74,80,147,8,88,105,106,10,115,102,81,11,245,1967,148,2064,3.15,268522,0.37101039,2%,12%,87%,34.28571429
ÜSKÜDAR,520059,1.005240186,517348,332,76,81%,19%,21,406,5%,95%,40,65,302,10%,16%,74%,238,170,58%,42%,944,839,53%,47%,103,95,125,57,112,25,91,74,127,27,113,66,116,24,141,70,78,30,382,1401,113,1670,2.91,222617,0.430304186,3%,9%,88%,65.53030303
ZEYTINBURNU,2224762,7.920233823,280896,187,22,89%,11%,5,199,2%,98%,15,35,155,7%,17%,76%,136,694,16%,84%,410,420,49%,51%,94,84,78,29,46,38,59,31,62,39,69,36,48,38,81,36,35,39,103,727,71,759,3.47,114827,0.40878916,3%,27%,69%,35.57692308
