,user_of_ibbwifi,ibbwifiuser_divpopulation,Ilce_Nufus2023,Haftalik_Spor_Yapmayanlar,Haftalik_Spor_Yapanlar,Ortalama_Ikametgah_Suresi,Üye,Ilçe_Ait hissetmiyorum,Ilçe_Ne ait hissediyorum ne hissetmiyorum,Ilçe_Ait hissediyorum,Tatil_Yapmayanlar,Tatil_Yapanlar, Ev_Sahibi, Ev_Sahibi_Degil,Ortalama Brüt (m2),Ortalama Net (m2), Hiz_Memnunum, Hiz_Ne Memnunum Ne Memnun Degilim, Hiz_Memnun Degilim, Hiz_Emin Degilim / Fikrim Yok, Fiyat_Memnunum,Baglanti kopma sorunu_Memnunum,Müsteri Hizmetleri_Memnunum,Evcil Hayvan_Var,Sosyal Yardim Alma_Evet,Ortalama Hanehalki Büyüklügü 2023,EvselAtik,EvselAtik_kisibasi,Average of SES
Ortalama Net (m2),-0.4896957948009944,-0.5373804682841393,0.047070099201812765,-0.07949373128381829,0.24200996194757438,-0.05019220217498113,-0.040254862078982136,0.011004450568567697,-0.09933872933248208,0.01858293594508165,0.07430512397402567,-0.5339746825263294,0.08379943355926456,-0.09018246489888489,0.9682223093848494,1.0,-0.1491548035038809,-0.13176925298954803,-0.2765277481306844,-0.21091046004125844,-0.1371697745147357,-0.14633930183052057,-0.18064413879540966,-0.09725240164956492,0.1645281242942401,0.032044839765029164,-0.017507834509018154,-0.3030109554120928,0.26701140962938735
 Hiz_Memnunum,0.15637727821882014,0.021673230588182837,0.40360318485661323,0.4440911658756455,0.34101570843824963,-0.2698618519927304,0.5647705599209745,0.04630377266299349,0.14813933891777417,0.7182122581801804,0.14893375668682654,0.3219662662713199,0.5134603871653706,0.4316059042177825,-0.12281046015313475,-0.1491548035038809,1.0,0.3419906825779345,0.805779684969221,0.11035841163824803,0.9775341443298051,0.9855430643366527,0.9840916090882302,0.8769880416441058,-0.2798234014015282,-0.15645005155609035,0.4202510414458217,-0.2594176097869222,0.27587845633693314
 Hiz_Ne Memnunum Ne Memnun Degilim,0.19266664642558476,0.0744819091206213,0.6225644502831004,0.7053629248822385,0.21271157063195908,-0.4331379546983993,0.10786248718694082,0.2306343293687147,0.6073864140942302,0.5937083026162627,0.5689206912029906,0.17707228216271503,0.5645124443945645,0.6760532600624222,-0.19046183952911258,-0.13176925298954803,0.3419906825779345,1.0,0.27321185015154237,0.6592543670533743,0.35570638025856116,0.3628619582572898,0.33190736077119193,0.1803994771989507,0.6109472277998222,0.10430741476948027,0.595512122009314,-0.21405615922013496,-0.0016900898328442062
 Hiz_Memnun Degilim,0.16428291779660675,0.013424271551407662,0.40868330277945414,0.35728005569646976,0.3922749760533254,-0.25788686732927096,0.4753164123051353,0.2180388524146063,0.07845101782875823,0.6090923039821122,0.13658083592376158,0.42902482137825265,0.4836291091246834,0.39468629237717384,-0.2903883338596478,-0.2765277481306844,0.805779684969221,0.27321185015154237,1.0,0.09591181589946467,0.7987295979810337,0.8122171930674484,0.8271822799941945,0.72349884319831,-0.27564479139745846,0.04109349296431866,0.43136681272243643,-0.2377074102723823,0.09129465080759172
 Hiz_Emin Degilim / Fikrim Yok,0.19382488446883253,0.12910016207746564,0.34221221389873224,0.414371726742985,-0.09464033942767078,-0.11094860262692008,-0.019480601820147585,0.10392951283167703,0.3296647933605755,0.2509224866320393,0.31847240789289216,0.3702637791979064,0.27277965807626464,0.29914729223617587,-0.2549787794189611,-0.21091046004125844,0.11035841163824803,0.6592543670533743,0.09591181589946467,1.0,0.13345326212659933,0.13487201311658237,0.160696065546903,-0.07764664215663636,0.591418415783609,0.31132735660094796,0.1661001964871949,-0.3502020011713545,-0.32380187360275187
 Fiyat_Memnunum,0.14657005688113825,0.02535257248190618,0.3760728968000074,0.42728120622951604,0.3193506119402974,-0.2655941958758059,0.607281042496719,0.026586974577745726,0.10915518658853512,0.7061891409182358,0.13272710993466239,0.31656878953039264,0.48839738840539226,0.4097100335531101,-0.11238555174118775,-0.1371697745147357,0.9775341443298051,0.35570638025856116,0.7987295979810337,0.13345326212659933,1.0,0.9887587337581589,0.961923272080123,0.8424935694921076,-0.26293152587854896,-0.1713074356668855,0.39838391986919064,-0.23042187837727682,0.31442998057498805
Baglanti kopma sorunu_Memnunum,0.1609196845960911,0.03262907289016346,0.3969330110813552,0.4425021603399658,0.33324639871349365,-0.2510913075817367,0.5875650297648789,0.03409640165141544,0.12699639853510267,0.7248183688842813,0.14851615674479363,0.3160217688176815,0.5182250992237362,0.4184249156136433,-0.1319321658058803,-0.14633930183052057,0.9855430643366527,0.3628619582572898,0.8122171930674484,0.13487201311658237,0.9887587337581589,1.0,0.9725815488130874,0.8592472334102932,-0.26096669058732336,-0.16125125136280477,0.4190052819555346,-0.24421394004009084,0.29639751601481534
Müsteri Hizmetleri_Memnunum,0.19588969885763727,0.06459928743710376,0.3802673026185876,0.4093518617219794,0.28488730931845185,-0.2064991139623124,0.5777289094876027,0.02102294340131151,0.10551166161826721,0.6926539126142275,0.10883820387241357,0.37717725441206845,0.48959656069429364,0.39702898465418207,-0.15435124809738704,-0.18064413879540966,0.9840916090882302,0.33190736077119193,0.8271822799941945,0.160696065546903,0.961923272080123,0.9725815488130874,1.0,0.8756295605530837,-0.2799651189085071,-0.11801855393667104,0.3822840848091877,-0.2766419928862193,0.22572233339013953
Evcil Hayvan_Var,0.010878609139621012,-0.10028768587374849,0.29100179837499524,0.3389141786554954,0.4333254161013018,-0.12370038226424239,0.6315046101502017,0.07863811207053623,0.09574816793918067,0.5971660004774147,0.07192210725767337,0.20637076904387536,0.4455739555565232,0.32948370163902535,-0.05809012377308214,-0.09725240164956492,0.8769880416441058,0.1803994771989507,0.72349884319831,-0.07764664215663636,0.8424935694921076,0.8592472334102932,0.8756295605530837,1.0,-0.37439665077656176,-0.27917671732852734,0.31818003094040787,-0.12457318508408045,0.4046011844604471
Sosyal Yardim Alma_Evet,-0.07314436276296539,-0.1855195286463171,0.5562251371231746,0.5435279706391336,0.09969149245165786,-0.3530291027889922,-0.2824092468249535,0.4163248573552513,0.5347551117888346,0.2933490975008653,0.6998244972448473,-0.28315602902761416,0.4014417266466693,0.5281924851844731,0.12058476722278332,0.1645281242942401,-0.2798234014015282,0.6109472277998222,-0.27564479139745846,0.591418415783609,-0.26293152587854896,-0.26096669058732336,-0.2799651189085071,-0.37439665077656176,1.0,0.44069814495907694,0.44083697940370986,-0.3385966424968157,-0.3004574087183747
Ortalama Hanehalki Büyüklügü 2023,-0.02202242061514364,-0.16354910679703907,0.47821373738453293,0.12861535243040523,0.11287656455202418,-0.33444746287815885,-0.11413704942172893,0.4666859214520028,0.14257864041955146,0.10581614031273141,0.3789007004694678,-0.034746528505752806,0.182663214358915,0.27924282933110806,0.03051302496250763,0.032044839765029164,-0.15645005155609035,0.10430741476948027,0.04109349296431866,0.31132735660094796,-0.1713074356668855,-0.16125125136280477,-0.11801855393667104,-0.27917671732852734,0.44069814495907694,1.0,0.28867722372611276,-0.7133046328425799,-0.7523199552729393
EvselAtik,0.1960590055753241,-0.07955003133223801,0.9208397764645373,0.8577340837163434,0.641107288139324,-0.5170560985711982,0.18015375221959018,0.7114115688336891,0.7600422576080639,0.8176206259144383,0.856306936966596,-0.06025061710285936,0.8438382928007117,0.9446732435565592,-0.04908209957026306,-0.017507834509018154,0.4202510414458217,0.595512122009314,0.43136681272243643,0.1661001964871949,0.39838391986919064,0.4190052819555346,0.3822840848091877,0.31818003094040787,0.44083697940370986,0.28867722372611276,1.0,-0.3464131562706649,-0.0727496989221107
EvselAtik_kisibasi,0.14141933021410805,0.36251948560140607,-0.6073179876053258,-0.379716500871818,-0.2588488607007711,0.40417847899229536,-0.047994838054146685,-0.41906139943447673,-0.2556555718493485,-0.44918990118195395,-0.4611345557264224,0.010794611399431801,-0.5035198083231429,-0.3852918093154181,-0.28245859708111687,-0.3030109554120928,-0.2594176097869222,-0.21405615922013496,-0.2377074102723823,-0.3502020011713545,-0.23042187837727682,-0.24421394004009084,-0.2766419928862193,-0.12457318508408045,-0.3385966424968157,-0.7133046328425799,-0.3464131562706649,1.0,0.39825364665926427
Average of SES,-0.11103576045908178,-0.03018561375928079,-0.2233004404346473,-0.03792024809908589,0.24570193281614255,0.02282569574541955,0.31558631167005763,-0.2580017638993369,-0.048971881068134854,0.0856734328292929,-0.1954246939799623,-0.09599391245273572,0.057625269471482825,-0.12029397021846726,0.233227134865248,0.26701140962938735,0.27587845633693314,-0.0016900898328442062,0.09129465080759172,-0.32380187360275187,0.31442998057498805,0.29639751601481534,0.22572233339013953,0.4046011844604471,-0.3004574087183747,-0.7523199552729393,-0.0727496989221107,0.39825364665926427,1.0
